time,hazard,n_censor,n_event,group
168,1.315658357007e-05,0,1,Q1
191,2.63133402381086e-05,0,1,Q1
220,3.94702700086706e-05,0,1,Q1
235,5.26273728863113e-05,0,1,Q1
237,6.57846488755857e-05,0,1,Q1
248,7.89420979810493e-05,0,1,Q1
268,7.89420979810493e-05,144.549469729398,0,Q1
321,9.2124792734429e-05,0,1,Q1
401,0.000105307661273541,0,1,Q1
405,0.000118490703603077,0,1,Q1
417,0.000131673919727399,0,1,Q1
429,0.000144857309651311,0,1,Q1
458,0.000158040873379172,0,1,Q1
517,0.000171224610915789,0,1,Q1
660,0.000184408522265522,0,1,Q1
673,0.000197592607433064,0,1,Q1
679,0.000210776866423111,0,1,Q1
682,0.000223961299240024,0,1,Q1
693,0.000237145905888498,0,1,Q1
777,0.000250330686373116,0,1,Q1
880,0.000263515640698573,0,1,Q1
935,0.000276700768869233,0,1,Q1
949,0.000289886070889789,0,1,Q1
1035,0.000303071546764938,0,1,Q1
1100,0.000316257196499042,0,1,Q1
1178,0.000329443020096798,0,1,Q1
1234,0.000342629017562902,0,1,Q1
1252,0.000355815188901827,0,1,Q1
1257,0.00036900153411816,0,1,Q1
1264,0.000382188053216486,0,1,Q1
1276,0.000395374746201279,0,1,Q1
1315,0.000408561613077349,0,1,Q1
1337,0.00042174865384917,0,1,Q1
1349,0.000434935868521217,0,1,Q1
1402,0.000448123257098299,0,1,Q1
1407,0.000448123257098299,154.255605799636,0,Q1
1437,0.00046133770113949,0,1,Q1
1450,0.00047455231980452,0,1,Q1
1512,0.000487767113098004,0,1,Q1
1532,0.000500982081024668,0,1,Q1
1548,0.000514197223588907,0,1,Q1
1568,0.000527412540795446,0,1,Q1
1595,0.000540628032648902,0,1,Q1
1617,0.000553843699154003,0,1,Q1
1661,0.000567059540315142,0,1,Q1
1683,0.000580275556137046,0,1,Q1
1714,0.000593491746624333,0,1,Q1
1728,0.000606708111781731,0,1,Q1
1747,0.000619924651613635,0,1,Q1
1748,0.000633141366124772,0,1,Q1
1754,0.00064635825531976,0,1,Q1
1767,0.000659575319203217,0,1,Q1
1776,0.000672792557779761,0,1,Q1
1834,0.000686009971054009,0,1,Q1
1835,0.00069922755903058,0,1,Q1
1869,0.000712445321714203,0,1,Q1
1899,0.000725663259109386,0,1,Q1
1949,0.000738881371220636,0,1,Q1
1963,0.000752099658052795,0,1,Q1
2022,0.000765318119610259,0,1,Q1
2096,0.00077853675589787,0,1,Q1
2143,0.000791755566920135,0,1,Q1
2154,0.000791755566920135,157.997056622602,0,Q1
2182,0.000805002219120602,0,1,Q1
2206,0.000818249046797298,0,1,Q1
2219,0.000831496049954762,0,1,Q1
2250,0.000844743228597533,0,1,Q1
2262,0.00085799058273037,0,1,Q1
2263,0.000871238112357924,0,1,Q1
2340,0.000884485817484955,0,1,Q1
2345,0.000897733698116002,0,1,Q1
2374,0.000910981754255605,0,1,Q1
2376,0.000924229985908635,0,1,Q1
2379,0.000937478393079632,0,1,Q1
2382,0.000950726975773136,0,1,Q1
2414,0.000963975733994021,0,1,Q1
2428,0.000977224667746825,0,1,Q1
2442,0.000990473777036201,0,1,Q1
2478,0.00100372306186669,0,1,Q1
2505,0.00101697252224316,0,1,Q1
2572,0.00103022215817016,0,1,Q1
2592,0.00104347196965223,0,1,Q1
2600,0.00105672195669423,0,1,Q1
2601,0.00106997211930072,0,1,Q1
2613,0.00108322245747635,0,1,Q1
2679,0.00109647297122565,0,1,Q1
2712,0.0011097236605534,0,1,Q1
2770,0.00112297452546423,0,1,Q1
2777,0.00113622556596282,0,1,Q1
2781,0.00114947678205392,0,1,Q1
2813,0.00116272817374207,0,1,Q1
2848,0.00117597974103182,0,1,Q1
2864,0.00120248340243529,0,2,Q1
2899,0.0012157354965582,0,1,Q1
2913,0.00122898776630144,0,1,Q1
2920,0.0012554928326674,0,2,Q1
2927,0.00126874562929944,0,1,Q1
2949,0.00128199860157053,0,1,Q1
2950,0.00129525174948511,0,1,Q1
2967,0.00130850507304795,0,1,Q1
2993,0.00130850507304795,157.178169637158,0,Q1
2994,0.00132178623906751,0,1,Q1
3010,0.00134834910028646,0,2,Q1
3052,0.00136163079549522,0,1,Q1
3053,0.00137491266710975,0,1,Q1
3096,0.00138819471513474,0,1,Q1
3114,0.00140147693957487,0,1,Q1
3151,0.00141475934043483,0,1,Q1
3152,0.00144132467143298,0,2,Q1
3186,0.00145460760158054,0,1,Q1
3191,0.00146789070816669,0,1,Q1
3195,0.0014811739911961,0,1,Q1
3216,0.00149445745067346,0,1,Q1
3230,0.00150774108660346,0,1,Q1
3284,0.00152102489899078,0,1,Q1
3290,0.00153430888784024,0,1,Q1
3321,0.00154759305315628,0,1,Q1
3336,0.00156087739494372,0,1,Q1
3368,0.00157416191320724,0,1,Q1
