time,hazard,n_censor,n_event,group
0,0,2,0,Q1
9,0,1,0,Q1
36,0,1,0,Q1
64,0,1,0,Q1
81,0,1,0,Q1
87,2.05623811244383e-05,0,1,Q1
100,4.11251850690884e-05,0,1,Q1
134,4.11251850690884e-05,1,0,Q1
160,6.16888347064178e-05,0,1,Q1
184,6.16888347064178e-05,1,0,Q1
209,6.16888347064178e-05,1,0,Q1
223,6.16888347064178e-05,1,0,Q1
227,6.16888347064178e-05,1,0,Q1
230,8.22545988795235e-05,0,1,Q1
235,8.22545988795235e-05,1,0,Q1
242,8.22545988795235e-05,1,0,Q1
277,8.22545988795235e-05,1,0,Q1
321,8.22545988795235e-05,1,0,Q1
337,8.22545988795235e-05,1,0,Q1
343,8.22545988795235e-05,1,0,Q1
345,8.22545988795235e-05,1,0,Q1
347,8.22545988795235e-05,1,0,Q1
358,8.22545988795235e-05,1,0,Q1
369,8.22545988795235e-05,1,0,Q1
405,8.22545988795235e-05,1,0,Q1
420,8.22545988795235e-05,1,0,Q1
442,8.22545988795235e-05,1,0,Q1
443,8.22545988795235e-05,1,0,Q1
458,8.22545988795235e-05,1,0,Q1
475,8.22545988795235e-05,1,0,Q1
513,8.22545988795235e-05,1,0,Q1
514,8.22545988795235e-05,1,0,Q1
522,8.22545988795235e-05,1,0,Q1
525,8.22545988795235e-05,1,0,Q1
534,8.22545988795235e-05,2,0,Q1
556,8.22545988795235e-05,1,0,Q1
559,8.22545988795235e-05,1,0,Q1
585,8.22545988795235e-05,1,0,Q1
593,8.22545988795235e-05,1,0,Q1
594,8.22545988795235e-05,1,0,Q1
604,8.22545988795235e-05,1,0,Q1
610,8.22545988795235e-05,1,0,Q1
623,8.22545988795235e-05,1,0,Q1
626,8.22545988795235e-05,1,0,Q1
629,8.22545988795235e-05,1,0,Q1
639,8.22545988795235e-05,1,0,Q1
642,8.22545988795235e-05,1,0,Q1
648,8.22545988795235e-05,1,0,Q1
660,8.22545988795235e-05,1,0,Q1
664,8.22545988795235e-05,1,0,Q1
671,8.22545988795235e-05,1,0,Q1
685,8.22545988795235e-05,1,0,Q1
687,8.22545988795235e-05,1,0,Q1
712,8.22545988795235e-05,1,0,Q1
