sample_id,trait,top_fraction,top_label,pathway,n_top,n_background,top_mean,background_mean,effect,p_value,fdr,direction
20_00331_LI_SING,ApoA1,0.5,top50,ECM_remodeling,1917,1917,0.343630173258599,-0.343630173258598,0.687260346517197,4.27853306494804e-308,5.13423967793765e-307,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,Antigen_presentation,1917,1917,0.321436435894373,-0.321436435894372,0.642872871788745,4.94164802762629e-300,2.96498881657577e-299,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,Oxidative_stress_response,1917,1917,0.263879411951009,-0.263879411951009,0.527758823902019,6.54488324119458e-298,2.61795329647783e-297,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,Myeloid_phagocytosis_complement,1917,1917,0.247740903579906,-0.247740903579906,0.495481807159812,1.39383231021614e-282,4.18149693064841e-282,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,TGFb_CAF_activation,1917,1917,0.216136742344763,-0.216136742344763,0.432273484689527,3.30775178131886e-267,7.93860427516526e-267,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,Hypoxia_glycolysis,1917,1917,0.214942957278918,-0.214942957278917,0.429885914557835,9.51048764744687e-264,1.90209752948937e-263,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,M2_macrophage_immunosuppression,1917,1917,0.185056737368596,-0.185056737368596,0.370113474737192,3.18621639261486e-249,5.46208524448262e-249,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,IFNg_response,1917,1917,0.202111503869974,-0.202111503869974,0.404223007739948,3.81233265506924e-249,5.71849898260387e-249,higher_in_top50
20_00331_LI_SING,ApoA1,0.2,top20,TGFb_CAF_activation,767,3067,0.460835195564362,-0.115246362894641,0.576081558459003,1.01099543123954e-223,1.21319451748745e-222,higher_in_top20
20_00331_LI_SING,ApoA1,0.5,top50,Epithelial_repair_stemness,1917,1917,0.207196396864617,-0.207196396864617,0.414392793729234,2.049018800978e-221,2.73202506797067e-221,higher_in_top50
20_00331_LI_SING,ApoA1,0.2,top20,Myeloid_phagocytosis_complement,767,3067,0.513262369065609,-0.128357429759805,0.641619798825414,1.82072361848168e-216,1.09243417108901e-215,higher_in_top20
20_00331_LI_SING,ApoA1,0.5,top50,Angiogenesis_endothelium,1917,1917,0.175507732638666,-0.175507732638666,0.351015465277332,2.39630322908565e-210,2.87556387490278e-210,higher_in_top50
20_00331_LI_SING,ApoA1,0.5,top50,TNFa_NFkB_inflammation,1917,1917,0.154914367112593,-0.154914367112593,0.309828734225186,4.25649212156458e-205,4.64344595079772e-205,higher_in_top50
20_00331_LI_SING,ApoA1,0.2,top20,Angiogenesis_endothelium,767,3067,0.398686357557242,-0.0997040874621468,0.498390445019389,2.13243452654911e-204,8.52973810619644e-204,higher_in_top20
20_00331_LI_SING,ApoA1,0.2,top20,Antigen_presentation,767,3067,0.530624180817409,-0.132699297909015,0.663323478726424,3.72803733109715e-198,1.11841119932915e-197,higher_in_top20
20_00331_LI_SING,ApoA1,0.2,top20,M2_macrophage_immunosuppression,767,3067,0.405449314151454,-0.101395377878762,0.506844692030217,1.88551462644928e-195,4.52523510347826e-195,higher_in_top20
20_00331_LI_SING,ApoA1,0.2,top20,ECM_remodeling,767,3067,0.603507378101651,-0.15092603814932,0.754433416250971,1.29466819163865e-192,2.5893363832773e-192,higher_in_top20
20_00331_LI_SING,ApoA1,0.2,top20,Oxidative_stress_response,767,3067,0.442719126632629,-0.110715868968773,0.553434995601402,6.53923782247903e-192,1.12101219813926e-191,higher_in_top20
20_00331_LI_SING,ApoA1,0.2,top20,TNFa_NFkB_inflammation,767,3067,0.326303133325384,-0.0816023812391814,0.407905514564565,7.07401090431152e-189,1.06110163564673e-188,higher_in_top20
20_00331_LI_SING,ApoA1,0.2,top20,IFNg_response,767,3067,0.373123319956465,-0.0933112443451611,0.466434564301627,4.95863398551834e-175,6.61151198069112e-175,higher_in_top20
20_00331_LI_SING,ApoA1,0.2,top20,Hypoxia_glycolysis,767,3067,0.343411733210966,-0.0858809257818099,0.429292658992776,1.18504103648588e-156,1.42204924378306e-156,higher_in_top20
20_00331_LI_SING,ApoA1,0.1,top10,TGFb_CAF_activation,384,3450,0.558726369355361,-0.0621886741543357,0.620915043509697,3.70172075686408e-130,4.4420649082369e-129,higher_in_top10
