time,hazard,n_censor,n_event,group
962,0,1,0,Q1
1142,0,1,0,Q1
1343,0,1,0,Q1
1506,0,1,0,Q1
1534,0,1,0,Q1
1550,0,1,0,Q1
1595,0,1,0,Q1
1654,0,1,0,Q1
1837,0,1,0,Q1
1940,0,1,0,Q1
1944,0,1,0,Q1
1979,0,1,0,Q1
2003,0,1,0,Q1
2103,0,1,0,Q1
2284,0,1,0,Q1
2481,0,1,0,Q1
2530,0,1,0,Q1
2792,0,1,0,Q1
2876,0,1,0,Q1
3166,0,1,0,Q1
3197,0,1,0,Q1
3267,0,1,0,Q1
3457,0,1,0,Q1
3571,0,1,0,Q1
3708,0,1,0,Q1
3763,0.00111919429701511,0,1,Q1
3792,0.00111919429701511,1,0,Q1
3843,0.00111919429701511,1,0,Q1
3875,0.00111919429701511,1,0,Q1
3886,0.00111919429701511,1,0,Q1
4018,0.00111919429701511,1,0,Q1
4196,0.00111919429701511,1,0,Q1
4263,0.00111919429701511,1,0,Q1
4576,0.00111919429701511,1,0,Q1
4577,0.00111919429701511,1,0,Q1
4618,0.00111919429701511,1,0,Q1
4654,0.00111919429701511,1,0,Q1
4664,0.00225362436762686,0,1,Q1
4680,0.00225362436762686,1,0,Q1
4703,0.00339063415470203,1,1,Q1
4749,0.00339063415470203,1,0,Q1
4959,0.00339063415470203,1,0,Q1
4994,0.00453283873347914,0,1,Q1
5166,0.00453283873347914,1,0,Q1
5241,0.00453283873347914,1,0,Q1
5261,0.00453283873347914,1,0,Q1
5276,0.0079791373770667,0,3,Q1
5281,0.0079791373770667,1,0,Q1
5588,0.00913187525687496,0,1,Q1
5642,0.00913187525687496,1,0,Q1
5682,0.00913187525687496,1,0,Q1
5942,0.00913187525687496,1,0,Q1
5949,0.00913187525687496,1,0,Q1
6015,0.0102912956766098,0,1,Q1
6117,0.0102912956766098,1,0,Q1
6158,0.0102912956766098,1,0,Q1
6160,0.0102912956766098,1,0,Q1
6164,0.0102912956766098,1,0,Q1
6180,0.0114574765667923,0,1,Q1
6262,0.0114574765667923,1,0,Q1
6349,0.0114574765667923,1,0,Q1
6374,0.0114574765667923,1,0,Q1
6399,0.0114574765667923,1,0,Q1
6448,0.0114574765667923,1,0,Q1
6491,0.0114574765667923,1,0,Q1
6660,0.0126332556558043,0,1,Q1
6670,0.0126332556558043,1,0,Q1
6943,0.0126332556558043,1,0,Q1
6975,0.0126332556558043,1,0,Q1
7024,0.0126332556558043,1,0,Q1
7029,0.0126332556558043,1,0,Q1
7034,0.0126332556558043,1,0,Q1
7068,0.0126332556558043,1,0,Q1
7160,0.0126332556558043,1,0,Q1
7190,0.0126332556558043,1,0,Q1
7191,0.0126332556558043,1,0,Q1
7254,0.0126332556558043,1,0,Q1
7259,0.0126332556558043,1,0,Q1
7262,0.0126332556558043,1,0,Q1
7263,0.0126332556558043,1,0,Q1
7314,0.0126332556558043,1,0,Q1
7329,0.0126332556558043,1,0,Q1
7362,0.0126332556558043,1,0,Q1
7375,0.0126332556558043,1,0,Q1
7394,0.0126332556558043,1,0,Q1
7404,0.0138373497206089,0,1,Q1
7406,0.0138373497206089,1,0,Q1
7425,0.0138373497206089,1,0,Q1
7432,0.0138373497206089,1,0,Q1
7455,0.0138373497206089,1,0,Q1
7467,0.0162615933321153,0,2,Q1
7513,0.0162615933321153,1,0,Q1
7524,0.0162615933321153,1,0,Q1
7613,0.0162615933321153,1,0,Q1
7614,0.0162615933321153,1,0,Q1
7619,0.0174818497373446,0,1,Q1
7642,0.0174818497373446,1,0,Q1
7786,0.0174818497373446,1,0,Q1
7953,0.0174818497373446,1,0,Q1
7956,0.0174818497373446,1,0,Q1
8043,0.0174818497373446,1,0,Q1
8096,0.0174818497373446,1,0,Q1
8161,0.0174818497373446,1,0,Q1
8174,0.0174818497373446,1,0,Q1
8216,0.0174818497373446,1,0,Q1
8284,0.0174818497373446,1,0,Q1
8408,0.0174818497373446,1,0,Q1
8476,0.0174818497373446,1,0,Q1
8643,0.0174818497373446,1,0,Q1
8650,0.0174818497373446,1,0,Q1
8655,0.0174818497373446,1,0,Q1
8742,0.0174818497373446,1,0,Q1
8862,0.0174818497373446,1,0,Q1
9037,0.0174818497373446,1,0,Q1
9058,0.0174818497373446,1,0,Q1
9095,0.0174818497373446,1,0,Q1
9222,0.0174818497373446,1,0,Q1
9225,0.0174818497373446,1,0,Q1
9270,0.0174818497373446,1,0,Q1
9278,0.0187389209273958,0,1,Q1
9297,0.0187389209273958,1,0,Q1
9320,0.0187389209273958,1,0,Q1
9328,0.0187389209273958,1,0,Q1
