from,to,value,data_source,qtl_type
HDL_CE,ZNF408,0.829580721330701,coloc,eqtl
HDL_CE,ZNF408,0.974426163390782,coloc,eqtl
HDL_CE,ACP2,0.972698878423241,coloc,eqtl
HDL_CE,C1QTNF4,0.872491799819254,coloc,eqtl
IDL_L,GIGYF1,0.903864389400976,coloc,eqtl
L_LDL_CE,ADCY4,0.896234528258168,coloc,eqtl
L_LDL_FC,ABO,0.999984058955335,coloc,eqtl
M_HDL_C_pct,ZNF408,0.978155699580527,coloc,eqtl
Remnant_C,GIGYF1,0.904928055072147,coloc,eqtl
S_HDL_TG_pct,SLC22A5,0.984650637036497,coloc,eqtl
S_HDL_TG_pct,SLC22A5,0.853007923597625,coloc,eqtl
S_LDL_FC,ST3GAL4,0.995173669251386,coloc,eqtl
S_LDL_FC,GEMIN7,0.950668303741727,coloc,eqtl
S_LDL_FC,GEMIN7,0.915249362758924,coloc,eqtl
S_LDL_FC,GEMIN7,0.969314890822192,coloc,eqtl
S_LDL_PL,PSRC1,0.991466722446335,coloc,eqtl
S_LDL_PL,CARF,0.804357581662342,coloc,eqtl
S_LDL_PL,CARF,0.804354690250272,coloc,eqtl
S_LDL_PL,CARF,0.804359844627687,coloc,eqtl
S_LDL_PL,PARP10,0.87400559802472,coloc,eqtl
XL_HDL_FC,WFDC10B,0.994983258715232,coloc,eqtl
XL_HDL_FC,PLTP,0.992239587199511,coloc,eqtl
XS_VLDL_C,RASIP1,0.996625561767171,coloc,eqtl
XS_VLDL_C,FUT1,0.989182378890331,coloc,eqtl
XS_VLDL_C,FUT2,0.999981860281928,coloc,eqtl
XS_VLDL_C,IZUMO1,0.994264416761224,coloc,eqtl
L_VLDL_C_pct,ABO,0.952558036834084,coloc,eqtl
L_VLDL_CE_pct,MAPKAPK5,0.979558142410064,coloc,eqtl
S_VLDL_FC_pct,GATA4,0.977745083496364,coloc,eqtl
M_VLDL_TG_pct,NEK4,0.967107236036794,coloc,eqtl
XS_VLDL_TG_pct,MLXIPL,0.993278563988316,coloc,eqtl
XS_VLDL_TG_pct,NEIL2,0.990328623545295,coloc,eqtl
IDL_PL,CEP250,0.992528703299099,coloc,sqtl
L_LDL_FC,ABO,0.977187352268547,coloc,sqtl
XL_HDL_FC,SNX21,0.989175842760604,coloc,sqtl
XL_HDL_FC,CD40,0.999984992033304,coloc,sqtl
L_VLDL_C_pct,ABO,0.977188020109806,coloc,sqtl
M_VLDL_TG_pct,NEIL2,0.960369430210222,coloc,sqtl
M_VLDL_TG_pct,CTSB,0.936724283144509,coloc,sqtl
NEK4,SLC22A5,0.27,PPI,PPI
NEK4,SLC22A5,0.27,PPI,PPI
C1QTNF4,ZNF408,0.297,PPI,PPI
C1QTNF4,ZNF408,0.297,PPI,PPI
FUT1,IZUMO1,0.235,PPI,PPI
FUT1,IZUMO1,0.235,PPI,PPI
ACP2,CTSB,0.356,PPI,PPI
ACP2,CTSB,0.356,PPI,PPI
ADCY4,CTSB,0.362,PPI,PPI
ADCY4,CTSB,0.362,PPI,PPI
MLXIPL,PSRC1,0.406,PPI,PPI
MLXIPL,PSRC1,0.406,PPI,PPI
FUT1,FUT2,0.812,PPI,PPI
FUT1,FUT2,0.812,PPI,PPI
GIGYF1,PLTP,0.177,PPI,PPI
GIGYF1,PLTP,0.177,PPI,PPI
MLXIPL,PLTP,0.455,PPI,PPI
MLXIPL,PLTP,0.455,PPI,PPI
FUT1,ST3GAL4,0.954,PPI,PPI
FUT1,ST3GAL4,0.954,PPI,PPI
FUT2,ST3GAL4,0.948,PPI,PPI
FUT2,ST3GAL4,0.948,PPI,PPI
L_VLDL_C_pct,L_VLDL_CE_pct,0.65703073811446,ggm,ggm
IDL_L,IDL_PL,0.187905921602227,ggm,ggm
S_LDL_PL,S_LDL_FC,0.170130902111527,ggm,ggm
XS_VLDL_C,IDL_PL,0.0862814357089716,ggm,ggm
Remnant_C,IDL_L,0.0736176153508503,ggm,ggm
IDL_PL,L_LDL_FC,0.0493198902363062,ggm,ggm
L_LDL_CE,L_LDL_FC,0.0483426958932839,ggm,ggm
XS_VLDL_TG_pct,S_HDL_TG_pct,0.0438520421247745,ggm,ggm
IDL_PL,XL_HDL_FC,0.0424499246782652,ggm,ggm
HDL_CE,M_HDL_C_pct,0.0405573243446312,ggm,ggm
S_LDL_PL,XL_HDL_FC,0.0366800130281548,ggm,ggm
Remnant_C,XS_VLDL_C,0.0291081831154506,ggm,ggm
IDL_PL,L_LDL_CE,0.0281284775949332,ggm,ggm
XS_VLDL_C,IDL_L,0.0101922044102809,ggm,ggm
XL_HDL_FC,M_VLDL_TG_pct,-0.0232579637416901,ggm,ggm
XS_VLDL_C,XS_VLDL_TG_pct,-0.0234508424602612,ggm,ggm
XL_HDL_FC,XS_VLDL_TG_pct,-0.0248517062933964,ggm,ggm
S_VLDL_FC_pct,S_HDL_TG_pct,-0.0278906340953123,ggm,ggm
IDL_L,M_VLDL_TG_pct,-0.0304386376081325,ggm,ggm
S_VLDL_FC_pct,XS_VLDL_TG_pct,-0.0353598008575798,ggm,ggm
Remnant_C,XS_VLDL_TG_pct,-0.0405212833494108,ggm,ggm
L_VLDL_CE_pct,M_VLDL_TG_pct,-0.0444699836187745,ggm,ggm
HDL_CE,S_HDL_TG_pct,-0.0553668106390139,ggm,ggm
